FREQ_MHz	SENS_DB	SENS_VPERPA	SENS_V2CM2PERW	CAP_PF
9.15	-251.85	2.56E-07	9.79E-04	216.256
9.2	-251.85	2.55E-07	9.79E-04	216.504
9.25	-251.88	2.55E-07	9.74E-04	216.754
9.3	-251.82	2.57E-07	9.88E-04	217.005
9.35	-251.91	2.54E-07	9.66E-04	217.258
9.4	-252	2.51E-07	9.47E-04	217.512
9.45	-251.99	2.51E-07	9.48E-04	217.769
9.5	-251.97	2.52E-07	9.53E-04	218.026
9.55	-252.06	2.50E-07	9.34E-04	218.286
9.6	-252.16	2.47E-07	9.13E-04	218.547
9.65	-252.2	2.45E-07	9.03E-04	218.81
9.7	-252.14	2.47E-07	9.16E-04	219.075
9.75	-252.06	2.50E-07	9.34E-04	219.341
9.8	-252.05	2.50E-07	9.35E-04	219.61
9.85	-252.11	2.48E-07	9.23E-04	219.88
9.9	-252.13	2.47E-07	9.18E-04	220.152
9.95	-252.01	2.51E-07	9.45E-04	220.426
10	-252.12	2.48E-07	9.21E-04	220.701
10.05	-252.11	2.48E-07	9.22E-04	220.979
10.1	-252.11	2.48E-07	9.24E-04	221.259
10.15	-252.07	2.49E-07	9.30E-04	221.54
10.2	-252.07	2.49E-07	9.31E-04	221.824
10.25	-252.06	2.50E-07	9.34E-04	222.109
10.3	-252.27	2.44E-07	8.90E-04	222.397
10.35	-252.21	2.45E-07	9.02E-04	222.686
10.4	-252.27	2.44E-07	8.89E-04	222.978
10.45	-252.36	2.41E-07	8.72E-04	223.272
10.5	-252.39	2.40E-07	8.65E-04	223.568
10.55	-252.32	2.42E-07	8.79E-04	223.866
10.6	-252.44	2.39E-07	8.55E-04	224.166
10.65	-252.33	2.42E-07	8.77E-04	224.469
10.7	-252.29	2.43E-07	8.86E-04	224.773
10.75	-252.45	2.39E-07	8.53E-04	225.08
10.8	-252.49	2.37E-07	8.45E-04	225.39
10.85	-252.46	2.38E-07	8.51E-04	225.701
10.9	-252.49	2.38E-07	8.46E-04	226.015
10.95	-252.55	2.36E-07	8.34E-04	226.332
11	-252.63	2.34E-07	8.18E-04	226.65
11.05	-252.66	2.33E-07	8.13E-04	226.972
11.1	-252.58	2.35E-07	8.29E-04	227.296
11.15	-252.54	2.36E-07	8.36E-04	227.622
11.2	-252.59	2.35E-07	8.25E-04	227.951
11.25	-252.64	2.33E-07	8.17E-04	228.282
11.3	-252.65	2.33E-07	8.16E-04	228.616
11.35	-252.71	2.32E-07	8.05E-04	228.953
11.4	-252.74	2.31E-07	7.98E-04	229.292
11.45	-252.72	2.31E-07	8.01E-04	229.635
11.5	-252.83	2.28E-07	7.83E-04	229.98
11.55	-252.93	2.26E-07	7.64E-04	230.327
11.6	-252.98	2.25E-07	7.56E-04	230.678
11.65	-253.05	2.23E-07	7.44E-04	231.031
11.7	-252.97	2.25E-07	7.57E-04	231.388
11.75	-253	2.24E-07	7.51E-04	231.747
11.8	-253.12	2.21E-07	7.32E-04	232.109
11.85	-253.09	2.22E-07	7.36E-04	232.475
11.9	-253.08	2.22E-07	7.38E-04	232.843
